ubicacion,owners,owner_count,articles,article_count,tipologia,width_mode,stock_pal_total,pasillo,columna,altura,denominacion_propietario,assigned_owner,owner_bucket,unit_resultante,eu_equivalente_factor
008-022-00,[82],1,['202069'],1,suelo_250,00,24.0,8.0,22.0,0.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_suelo,1.0
008-023-20,[24],1,['31031'],1,AM,AM,24.0,8.0,23.0,20.0,MCC MADRID,24,24,posicion_rack,1.5
008-023-30,[24],1,['22014'],1,AM,AM,13.0,8.0,23.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-023-40,[24],1,['31047'],1,AM,AM,24.0,8.0,23.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-024-00,[82],1,['202069'],1,suelo_250,00,24.0,8.0,24.0,0.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_suelo,1.0
008-024-10,[23],1,['145013'],1,AM,AM,4.0,8.0,24.0,10.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,1.5
008-024-20,[24],1,['31031'],1,AM,AM,24.0,8.0,24.0,20.0,MCC MADRID,24,24,posicion_rack,1.5
008-024-30,[24],1,['31003'],1,AM,AM,24.0,8.0,24.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-024-40,[24],1,['31033'],1,AM,AM,26.0,8.0,24.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-025-10,[29],1,['167004'],1,AM,AM,4.0,8.0,25.0,10.0,MAHOU FUTBOL,29,29,posicion_rack,1.5
008-025-20,[24],1,['31031'],1,AM,AM,24.0,8.0,25.0,20.0,MCC MADRID,24,24,posicion_rack,1.5
008-025-30,[24],1,['31091'],1,AM,AM,18.0,8.0,25.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-025-40,[24],1,['31031'],1,AM,AM,24.0,8.0,25.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-026-10,[3],1,['31171'],1,AM,AM,25.0,8.0,26.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
008-026-20,[24],1,['31031'],1,AM,AM,16.0,8.0,26.0,20.0,MCC MADRID,24,24,posicion_rack,1.5
008-026-30,[24],1,['31003'],1,AM,AM,24.0,8.0,26.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-027-00,[89],1,['176026'],1,suelo_250,S,1.0,8.0,27.0,0.0,BRAND MANAGEMENT MERCADO,89,89,posicion_suelo,1.0
008-028-00,[82],1,['202068'],1,suelo_250,00,24.0,8.0,28.0,0.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_suelo,1.0
008-029-10,[24],1,['167001'],1,AM,AM,4.0,8.0,29.0,10.0,MCC MADRID,24,24,posicion_rack,1.5
008-029-20,[3],1,['205203'],1,AM,AM,6.0,8.0,29.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-029-30,[24],1,['22014'],1,AM,AM,13.0,8.0,29.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-029-40,[24],1,['22027'],1,AM,AM,20.0,8.0,29.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-030-20,[64],1,['94106'],1,AM,AM,1.0,8.0,30.0,20.0,CORONA,64,64,posicion_rack,1.5
008-030-30,[24],1,['31003'],1,AM,AM,24.0,8.0,30.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
