antecedent,consequent,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,npmi,shared_transactions
102692,102691,0.00023467567821271003,0.00023467567821271003,0.000281610813855252,1.0,3551.0000000000005,0.00023460959100397651,inf,0.9781841714499544,5
103314,102691,0.00023467567821271003,0.00023467567821271003,0.000281610813855252,1.0,3551.0000000000005,0.00023460959100397651,inf,0.9781841714499544,5
107134,107133,0.00023467567821271003,0.00023467567821271003,0.000281610813855252,1.0,3551.0000000000005,0.00023460959100397651,inf,0.9781841714499544,5
107134,107150,0.00023467567821271003,0.00023467567821271003,0.000281610813855252,1.0,3551.0000000000005,0.00023460959100397651,inf,0.9781841714499544,5
018068,018064,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
203011,203009,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
203011,203013,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
203011,203016,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
103126,103134,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
113049,113047,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
141138,141067,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
059012,127052,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
102525,072085,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
102526,072085,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
061049,112046,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
102691,102692,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
102691,103314,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
107133,107134,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
107150,107134,0.00023467567821271003,0.000281610813855252,0.00023467567821271003,0.8333333333333334,3551.0000000000005,0.00023460959100397651,5.998591945930725,0.9781841714499544,5
9990P,EH18NC,0.000281610813855252,0.000281610813855252,0.000281610813855252,1.0,3551.0,0.0002815315092047718,inf,1.0,6
EH18NC,9990P,0.000281610813855252,0.000281610813855252,0.000281610813855252,1.0,3551.0,0.0002815315092047718,inf,1.0,6
124119,124120,0.000281610813855252,0.000281610813855252,0.000281610813855252,1.0,3551.0,0.0002815315092047718,inf,1.0,6
124120,124119,0.000281610813855252,0.000281610813855252,0.000281610813855252,1.0,3551.0,0.0002815315092047718,inf,1.0,6
113051,113053,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
113053,113051,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
113051,113054,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
113054,113051,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
113053,113054,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
113054,113053,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
186024,186025,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
186025,186024,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
186024,186026,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
186026,186024,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
186025,186026,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
186026,186025,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
016040,019054,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
019054,016040,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
016040,091160,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
091160,016040,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
016040,991106,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
991106,016040,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
019054,091160,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
091160,019054,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
019054,991106,0.00032854594949779405,0.00032854594949779405,0.00032854594949779405,1.0,3043.714285714286,0.00032843800705686265,inf,1.0,7
