granularity,period,transactions,avg_basket_size,series_type,article_a,article_b,period_label,period_transaction_count,shared_transactions,joint_support,lift,balanced_confidence,jaccard_similarity,cosine_similarity
,,,,pair_affinity,015171,124235,full_history,21120.0,76.0,0.0035984848484848487,78.45161290322582,0.5135135135135136,0.34545454545454546,0.5313256443758917
,,,,pair_affinity,126105,202068,full_history,21120.0,75.0,0.0035511363636363635,24.09308692676249,0.24115755627009647,0.13711151736745886,0.29250271297524433
,,,,pair_affinity,031149,065072,full_history,21120.0,74.0,0.003503787878787879,22.09798515376458,0.20273972602739726,0.11280487804878049,0.27825645100768975
,,,,pair_affinity,084099,129079,full_history,21120.0,73.0,0.003456439393939394,43.98493666552551,0.36228287841191065,0.22121212121212122,0.38991187187703275
,,,,pair_affinity,012019,012040,full_history,21120.0,73.0,0.003456439393939394,43.162374020156776,0.3862433862433862,0.23934426229508196,0.38624879274790763
,,,,pair_affinity,016010,061016,full_history,21120.0,73.0,0.003456439393939394,14.637564203590655,0.22324159021406728,0.12564543889845095,0.22493077500557332
,,,,pair_affinity,012012,018000,full_history,21120.0,73.0,0.003456439393939394,2.6912442396313363,0.09455958549222798,0.04962610469068661,0.09644751219484214
,,,,pair_affinity,018000,018073,full_history,21120.0,71.0,0.003361742424242424,8.86807181889149,0.1282746160794941,0.06853281853281853,0.17266202030208094
,,,,pair_affinity,011026,014014,full_history,21120.0,70.0,0.0033143939393939395,7.4257873323622485,0.15677491601343785,0.0850546780072904,0.15688207204652074
,,,,pair_affinity,011014,061016,full_history,21120.0,68.0,0.0032196969696969696,1.5497990125988077,0.04702627939142462,0.024079320113314446,0.0706391052074114
,,,,pair_affinity,011105,014014,full_history,21120.0,66.0,0.003125,10.526665559062966,0.17623497997329773,0.09663250366032211,0.18137207577814116
,,,,pair_affinity,011104,014014,full_history,21120.0,65.0,0.003077651515151515,7.076398088630236,0.1473922902494331,0.0795593635250918,0.14757603904187203
,,,,pair_affinity,012019,012037,full_history,21120.0,64.0,0.0030303030303030303,71.14105263157894,0.4413793103448276,0.2831858407079646,0.4643048000704074
,,,,pair_affinity,031149,126105,full_history,21120.0,64.0,0.0030303030303030303,24.134987947504683,0.21262458471760798,0.11895910780669144,0.2704372886893569
,,,,pair_affinity,012012,012037,full_history,21120.0,63.0,0.0029829545454545456,21.460645161290323,0.175,0.0958904109589041,0.25301408860428715
,,,,pair_affinity,011014,011104,full_history,21120.0,63.0,0.0029829545454545456,1.257647865025166,0.042798913043478264,0.021867407150295035,0.061249542166109484
,,,,pair_affinity,201026,204051,full_history,21120.0,62.0,0.0029356060606060604,121.0762829403606,0.5961538461538461,0.4246575342465753,0.5961814069520928
,,,,pair_affinity,014012,167004,full_history,21120.0,62.0,0.0029356060606060604,5.540258091812989,0.11221719457013576,0.059443911792905084,0.12753044825314455
,,,,pair_affinity,031149,084099,full_history,21120.0,61.0,0.0028882575757575757,40.58979206049149,0.3120204603580563,0.18484848484848485,0.342394179882105
,,,,pair_affinity,013070,013071,full_history,21120.0,60.0,0.002840909090909091,346.2295081967213,0.9917355371900827,0.9836065573770492,0.9917694073609294
,,,,pair_affinity,018092,018095,full_history,21120.0,60.0,0.002840909090909091,188.7118391660462,0.7317073170731707,0.5769230769230769,0.7321975003023397
,,,,pair_affinity,084099,204082,full_history,21120.0,60.0,0.002840909090909091,30.608695652173918,0.2816901408450704,0.16393442622950818,0.29488391230979427
,,,,pair_affinity,014012,061016,full_history,21120.0,60.0,0.002840909090909091,4.236639307266679,0.10152284263959391,0.053475935828877004,0.10970828192491532
,,,,pair_affinity,011014,167004,full_history,21120.0,60.0,0.002840909090909091,1.7305565039262547,0.04262877442273534,0.021778584392014518,0.07011671487124843
,,,,pair_affinity,018092,143124,full_history,21120.0,59.0,0.0027935606060606063,232.69467787114849,0.7972972972972971,0.6629213483146067,0.8062547273292747
,,,,pair_affinity,018091,018092,full_history,21120.0,59.0,0.0027935606060606063,187.94570135746608,0.7239263803680981,0.5673076923076923,0.7245948574138852
,,,,pair_affinity,084099,202068,full_history,21120.0,59.0,0.0027935606060606063,33.44283413848632,0.2871046228710462,0.16761363636363635,0.3056543538121029
,,,,pair_affinity,011014,011105,full_history,21120.0,59.0,0.0027935606060606063,1.7255140898705257,0.04197794379224475,0.021438953488372093,0.06942858335487495
,,,,pair_affinity,013069,013071,full_history,21120.0,58.0,0.002746212121212121,346.0338983050847,0.9747899159663864,0.9508196721311475,0.9748243359065808
,,,,pair_affinity,013069,013070,full_history,21120.0,58.0,0.002746212121212121,340.3612114476243,0.9666666666666668,0.9354838709677419,0.9668009539030813
,,,,pair_affinity,011110,014014,full_history,21120.0,58.0,0.002746212121212121,6.749239652664521,0.13567251461988303,0.07277289836888332,0.13614273297944623
,,,,pair_affinity,014012,016010,full_history,21120.0,57.0,0.0026988636363636364,5.1467048588102005,0.10344827586206898,0.05454545454545454,0.11785692423671548
,,,,pair_affinity,014014,018000,full_history,21120.0,57.0,0.0026988636363636364,2.8139463128663995,0.08219178082191782,0.04285714285714286,0.0871461839581898
,,,,pair_affinity,012012,167006,full_history,21120.0,56.0,0.0026515151515151517,17.663082437275985,0.15384615384615383,0.08333333333333333,0.21641148468807855
,,,,pair_affinity,018095,143122,full_history,21120.0,55.0,0.0026041666666666665,253.51374945438673,0.8029197080291971,0.6707317073170732,0.8125220340832603
,,,,pair_affinity,018093,018094,full_history,21120.0,55.0,0.0026041666666666665,212.74725274725273,0.7432432432432433,0.5913978494623656,0.7443314476960543
,,,,pair_affinity,011013,011030,full_history,21120.0,55.0,0.0026041666666666665,29.1588222004669,0.2631578947368421,0.15151515151515152,0.27556203079110136
,,,,pair_affinity,018000,018072,full_history,21120.0,55.0,0.0026041666666666665,4.9689440993788825,0.09345794392523364,0.049019607843137254,0.11375393879832252
,,,,pair_affinity,018091,018095,full_history,21120.0,54.0,0.002556818181818182,185.0827653359299,0.6878980891719745,0.5242718446601942,0.6879120434707431
,,,,pair_affinity,012012,143022,full_history,21120.0,54.0,0.002556818181818182,18.212711593740018,0.14979195561719835,0.08095952023988005,0.21579293812144382
,,,,pair_affinity,018091,143121,full_history,21120.0,53.0,0.002509469696969697,251.76788124156548,0.7851851851851852,0.6463414634146342,0.794860911509664
,,,,pair_affinity,018092,018094,full_history,21120.0,53.0,0.002509469696969697,168.83257918552036,0.6503067484662577,0.4818181818181818,0.650907244795524
,,,,pair_affinity,031149,202068,full_history,21120.0,53.0,0.002509469696969697,72.10048309178742,0.424,0.26903553299492383,0.42536334756971783
,,,,pair_affinity,202044,204000,full_history,21120.0,53.0,0.002509469696969697,41.18928466293789,0.263681592039801,0.1518624641833811,0.32150157340439456
,,,,pair_affinity,022009,204000,full_history,21120.0,52.0,0.002462121212121212,23.01617905943499,0.22269807280513917,0.12530120481927712,0.23805172270793368
,,,,pair_affinity,084042,084099,full_history,21120.0,52.0,0.002462121212121212,17.843634236693312,0.20841683366733466,0.116331096196868,0.20960245789468906
,,,,pair_affinity,065072,202062,full_history,21120.0,51.0,0.002414772727272727,21.10138113429327,0.14613180515759314,0.07882534775888717,0.22573223002238435
,,,,pair_affinity,084042,129079,full_history,21120.0,50.0,0.0023674242424242425,37.28681896825677,0.2857142857142857,0.16666666666666666,0.29710893481740863
,,,,pair_affinity,011013,011026,full_history,21120.0,50.0,0.0023674242424242425,16.7062173706692,0.1733102253032929,0.09487666034155598,0.19887358799632304
,,,,pair_affinity,011030,014014,full_history,21120.0,50.0,0.0023674242424242425,8.416153276003604,0.1362397820163488,0.07309941520467836,0.14115454400609687
,,,,pair_affinity,018094,143123,full_history,21120.0,49.0,0.0023200757575757578,250.33381712626996,0.7480916030534351,0.5975609756097561,0.7620980385856283
,,,,pair_affinity,023080,031124,full_history,21120.0,48.0,0.0022727272727272726,405.6662665066026,0.9600000000000002,0.9230769230769231,0.9601920576192067
,,,,pair_affinity,018093,143125,full_history,21120.0,48.0,0.0022727272727272726,289.64571428571423,0.8,0.6666666666666666,0.8113480845393759
,,,,pair_affinity,018091,018093,full_history,21120.0,48.0,0.0022727272727272726,185.67032967032966,0.6486486486486487,0.48,0.6495983543529201
,,,,pair_affinity,018092,018093,full_history,21120.0,48.0,0.0022727272727272726,170.3798319327731,0.6193548387096774,0.4485981308411215,0.6222755746100778
,,,,pair_affinity,018094,018095,full_history,21120.0,48.0,0.0022727272727272726,164.5180136319377,0.6114649681528663,0.44036697247706424,0.6114773719739939
,,,,pair_affinity,018071,018073,full_history,21120.0,48.0,0.0022727272727272726,45.782414307004466,0.3157894736842105,0.1875,0.32256928187108636
,,,,pair_affinity,022043,202022,full_history,21120.0,48.0,0.0022727272727272726,28.92737908403481,0.25396825396825395,0.14545454545454545,0.25640601274698377
,,,,pair_affinity,143022,167006,full_history,21120.0,47.0,0.002225378787878788,91.00110011001102,0.44976076555023914,0.29012345679012347,0.4500132418701171
,,,,pair_affinity,012037,012040,full_history,21120.0,47.0,0.002225378787878788,52.8,0.3263888888888889,0.1950207468879668,0.3427827300200522
,,,,pair_affinity,031006,204000,full_history,21120.0,47.0,0.002225378787878788,22.12159030130148,0.2052401746724891,0.11435523114355231,0.2218759063320338
,,,,pair_affinity,022043,204000,full_history,21120.0,47.0,0.002225378787878788,14.610538710627026,0.1770244821092279,0.09710743801652892,0.18031634126199234
,,,,pair_affinity,143122,143124,full_history,21120.0,46.0,0.002178030303030303,265.8784893267652,0.7603305785123966,0.6133333333333333,0.7609805560443799
,,,,pair_affinity,018091,018094,full_history,21120.0,46.0,0.002178030303030303,159.6844181459566,0.5897435897435898,0.41818181818181815,0.5897435897435898
,,,,pair_affinity,014000,014030,full_history,21120.0,46.0,0.002178030303030303,106.92493946731234,0.47179487179487184,0.3087248322147651,0.4825823849970978
,,,,pair_affinity,012016,012025,full_history,21120.0,46.0,0.002178030303030303,62.81650071123756,0.3250883392226148,0.1940928270042194,0.3698867963031392
,,,,pair_affinity,016010,016024,full_history,21120.0,46.0,0.002178030303030303,45.744420378566716,0.25484764542936283,0.14603174603174604,0.315646532974901
,,,,pair_affinity,012012,012053,full_history,21120.0,46.0,0.002178030303030303,8.161290322580646,0.11330049261083742,0.06005221932114883,0.13332493253104838
,,,,pair_affinity,011013,011014,full_history,21120.0,46.0,0.002178030303030303,2.6174176601333605,0.03443113772455089,0.017517136329017517,0.07550374149310171
,,,,pair_affinity,011014,051085,full_history,21120.0,46.0,0.002178030303030303,1.4971221635782255,0.03306973400431344,0.016812865497076022,0.05710321741908826
,,,,pair_affinity,1836BR,74P,full_history,21120.0,45.0,0.002130681818181818,297.9310344827586,0.7964601769911505,0.6617647058823529,0.796741010771075
,,,,pair_affinity,011026,018000,full_history,21120.0,45.0,0.002130681818181818,2.39202657807309,0.06646971935007386,0.03437738731856379,0.07139080850157115
,,,,pair_affinity,011014,016010,full_history,21120.0,45.0,0.002130681818181818,1.3114844585503844,0.03200568990042674,0.016263100831225154,0.05286166938965635
,,,,pair_affinity,018093,018095,full_history,21120.0,44.0,0.0020833333333333333,168.04339963833635,0.5906040268456375,0.41904761904761906,0.591684388769216
,,,,pair_affinity,018072,018086,full_history,21120.0,44.0,0.0020833333333333333,52.472049689440986,0.2724458204334365,0.15770609318996415,0.3306308669594165
,,,,pair_affinity,014014,016010,full_history,21120.0,44.0,0.0020833333333333333,6.993324854569125,0.11733333333333333,0.06232294617563739,0.12070388055216927
,,,,pair_affinity,018092,143122,full_history,21120.0,43.0,0.0020359848484848486,184.210953346856,0.6013986013986014,0.43,0.6124138387880764
,,,,pair_affinity,018095,143124,full_history,21120.0,43.0,0.0020359848484848486,182.47136829415314,0.6056338028169015,0.43434343434343436,0.609515332973006
,,,,pair_affinity,012025,014030,full_history,21120.0,43.0,0.0020359848484848486,36.824264049955396,0.2629969418960244,0.15140845070422534,0.2738131546553498
