ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
192053,32,32,1,AK01803,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
11115,77,77,312,AV04109,1,B,48.0,EU,posicion_rack,6.5,match_articulo; owner=prefijo_RESERVA
102621,33,33,45,BB09403,45,C,12.0,balda_9h,subhueco_balda,3.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
103189,29,29,30,AV13002,30,C,12.0,balda_9h,subhueco_balda,2.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
74036,60,60,378,BB05202,1,C,12.0,balda_9h,subhueco_balda,31.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
54060,64,64,3,AT10303,3,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
149047,64,64,16,AZ14902,1,C,2.0,suelo_126,posicion_suelo,8.0,dimensión <= 126 cm; owner=prefijo_RESERVA
11115,77,77,24,AK03806,1,B,48.0,EU,posicion_rack,0.5,match_articulo; owner=prefijo_RESERVA
35010,64,64,1,BC08302,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
98542,61,61,7,AZ02300,7,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
174084,33,33,1,AX00202,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
181158,32,32,1,AV10906,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
143035,37,37,1,AL105,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
115108,33,33,1,BA04603,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
